Life.expectancy,Year,Status,Adult.Mortality,Alcohol,BMI,Schooling,GDP,Polio,Income.composition.of.resources
65,2015,Developing,263,0.01,19.1,10.1,584.25921,6,0.479
59.9,2014,Developing,271,0.01,18.6,10,612.696514,58,0.476
59.9,2013,Developing,268,0.01,18.1,9.9,631.744976,62,0.47
59.5,2012,Developing,272,0.01,17.6,9.8,669.959,67,0.463
59.2,2011,Developing,275,0.01,17.2,9.5,63.537231,68,0.454
58.8,2010,Developing,279,0.01,16.7,9.2,553.32894,66,0.448
58.6,2009,Developing,281,0.01,16.2,8.9,445.8932979,63,0.434
58.1,2008,Developing,287,0.03,15.7,8.7,373.3611163,64,0.433
57.5,2007,Developing,295,0.02,15.2,8.4,369.835796,63,0.415
57.3,2006,Developing,295,0.03,14.7,8.1,272.56377,58,0.405
57.3,2005,Developing,291,0.02,14.2,7.9,25.2941299,58,0.396
57,2004,Developing,293,0.02,13.8,6.8,219.1413528,5,0.381
56.7,2003,Developing,295,0.01,13.4,6.5,198.7285436,41,0.373
56.2,2002,Developing,3,0.01,13,6.2,187.84595,36,0.341
55.3,2001,Developing,316,0.01,12.6,5.9,117.49698,35,0.34
54.8,2000,Developing,321,0.01,12.2,5.5,114.56,24,0.338
77.8,2015,Developing,74,4.6,58,14.2,3954.22783,99,0.762
77.5,2014,Developing,8,4.51,57.2,14.2,4575.763787,98,0.761
77.2,2013,Developing,84,4.76,56.5,14.2,4414.72314,99,0.759
76.9,2012,Developing,86,5.14,55.8,14.2,4247.61438,99,0.752
76.6,2011,Developing,88,5.37,55.1,13.3,4437.17868,99,0.738
76.2,2010,Developing,91,5.28,54.3,12.5,494.358832,99,0.725
76.1,2009,Developing,91,5.79,53.5,12.2,4114.136545,98,0.721
75.3,2008,Developing,1,5.61,52.6,12,437.539647,99,0.713
75.9,2007,Developing,9,5.58,51.7,11.6,363.13685,99,0.703
74.2,2006,Developing,99,5.31,5.8,11.4,35.1293,97,0.696
73.5,2005,Developing,15,5.16,49.9,10.8,279.142931,97,0.685
73,2004,Developing,17,4.54,48.9,10.9,2416.588235,98,0.681
72.8,2003,Developing,18,4.29,47.9,10.7,189.681557,97,0.674
73.3,2002,Developing,15,3.73,46.9,10.7,1453.642777,98,0.67
73.6,2001,Developing,14,4.25,46,10.6,1326.97339,97,0.662
72.6,2000,Developing,11,3.66,45,10.7,1175.788981,97,0.656
75.4,2014,Developing,11,0.01,58.4,14.4,547.8517,95,0.741
75.3,2013,Developing,112,0.53,57.2,14.4,5471.866766,95,0.737
75.1,2012,Developing,113,0.66,56.1,14.4,5564.82566,95,0.732
74.9,2011,Developing,116,0.56,55,14,5432.2523,95,0.724
74.7,2010,Developing,119,0.45,53.9,13.6,4463.394675,95,0.714
74.4,2009,Developing,123,0.5,52.8,13.1,3868.83123,94,0.705
74.1,2008,Developing,126,0.46,51.8,12.6,495.254866,92,0.697
73.8,2007,Developing,129,0.44,5.8,12.3,3935.183343,95,0.69
73.4,2006,Developing,132,0.36,49.8,12.3,3464.6179,95,0.686
72.9,2005,Developing,136,0.5,48.9,12,31.122378,88,0.68
72.3,2004,Developing,14,0.45,47.9,11.7,2598.9823,86,0.673
71.7,2003,Developing,146,0.34,47,11.5,294.33556,87,0.663
71.6,2002,Developing,145,0.36,46.1,11.1,1774.33673,86,0.653
71.4,2001,Developing,145,0.23,45.3,10.9,1732.857979,89,0.644
71.3,2000,Developing,145,0.25,44.4,10.7,1757.17797,86,0.636
51.7,2014,Developing,348,8.33,22.7,11.4,479.31224,68,0.527
51.1,2013,Developing,355,8.1,22.1,11.4,484.616884,67,0.523
56,2012,Developing,358,8.24,21.5,10.3,4598.249988,75,0.508
51,2011,Developing,361,8.06,21,9.4,4299.12889,73,0.495
49.6,2010,Developing,365,7.8,2.4,9,3529.53482,81,0.488
49.1,2009,Developing,369,7.01,19.8,8.5,3347.84485,63,0.48
48.7,2008,Developing,371,7.07,19.3,8.1,3868.578883,65,0.468
48.2,2007,Developing,375,6.35,18.8,7.7,2878.837144,75,0.454
47.7,2006,Developing,381,5.84,18.2,7.2,262.415149,36,0.439
